Year	Month	Date	Country	Area	Location	Type	Species	Number of victims	Age	Injury	Activity	Fatal (Y/N)	Sex	Season
2011	Oct	11-Oct-11	USA	Florida	Cape Canaveral	Unprovoked	3' shark	1.0	[nan]	['Foot bitten']	['Surfing']	['N']	['M']	Autumn
2011	Oct	19-Oct-11	AUSTRALIA	Victoria	Elwood Beach	Unprovoked	Port Jackson shark, 1m	1.0	['50']	['Small bruise to calf']	['Diving']	['N']	['M']	Autumn
2011	Oct	20-Oct-11	USA	Oregon	Newport, Lincoln County	Unprovoked	White shark, 15'	1.0	['41']	['No injury, shark bit surfboard']	['Surfing']	['N']	['M']	Autumn
2011	Oct	22-Oct-11	AUSTRALIA	Western Australia	Rottnest Island	Unprovoked	White shark, 10'	1.0	['32']	['FATAL']	['Diving']	['Y']	['M']	Autumn
2011	Oct	Reported 28-Oct-2011	SCOTLAND	Moray	Spey Bay	Unprovoked	8' to 10' shark	1.0	['26']	['No injury, shark bumped leg & board. ']	['Surfing']	['N']	['M']	Autumn
2011	Sep	02-Sep-11	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	6' shark, possibly a blactip or spinner shark	1.0	['19']	['Lacerations to ankle & foot']	['Surfing']	['N']	['M']	Autumn
2011	Sep	04-Sep-11	AUSTRALIA	Western Australia	 Bunker Bay	Unprovoked	White shark	1.0	['21']	['FATAL']	['Body boarding']	['Y']	['M']	Autumn
2011	Sep	11-Sep-11	PAPUA NEW GUINEA	Central Province	Hula, near Port Moresby	Unprovoked	Tiger shark, 2m	1.0	['30']	['Lacerations to right leg']	['Kite Surfing']	['N']	['M']	Autumn
2011	Sep	16-Sep-11	USA	Florida	New Smyrna Beach	Unprovoked	4' to 6' shark	1.0	['25']	['Lacerations to arm']	['Surfing']	['N']	['M']	Autumn
2011	Sep	24-Sep-11	USA	Florida	Santa Maria Island, Manatee County	Unprovoked	Bull shark, 6'	1.0	['21']	['Laceration to left thigh']	['Spearfishing']	['N']	['M']	Autumn
2011	Sep	28-Sep-11	SOUTH AFRICA	Western Cape Province	Clovely Beach	Unprovoked	White shark	1.0	['43']	['Right leg severed, left leg lacerated']	['Swimming']	['N']	['M']	Autumn
2011	Sep	30-Sep-11	USA	Puerto Rico	Hatillo Beach	Invalid	No shark involvement	1.0	['27']	['Lacerations to lower right leg ']	['Surfing']	['N']	['M']	Autumn
2012	Apr	03-Apr-12	USA	Hawaii	Leftovers near Chun's Reef, Oahu	Unprovoked	Tiger shark, 10'  	1.0	['28']	['Lacerations to left foot']	['Surfing']	['N']	['M']	Spring
2012	Apr	11-Apr-12	AUSTRALIA	South Australia	Dolphin Bay, Innes National Park	Unprovoked	White shark, 6m 	1.0	['27']	['Minor wound to his thigh when shark bit kayak']	['Kayaking']	['N']	['M']	Spring
2012	Apr	19-Apr-12	SOUTH AFRICA	Western Cape Province	Caves near Kogel Bay	Unprovoked	White shark, 4 m to 5m 	1.0	['20']	['FATAL']	['Body boarding']	['Y']	['M']	Spring
2012	Apr	19-Apr-12	USA	Florida	Indialantic, Brevard County	Unprovoked	5' shark	2.0	['28']	['Lacerations to hand']	['Surfing']	['N']	['M']	Spring
2012	Apr	Apr-13	USA	Florida	Sanibel Island, Lee County	Unprovoked	a small shark	1.0	[nan]	['Right shin bitten']	[nan]	['N']	['M']	Spring
2012	Aug	04-Aug-12	FRENCH POLYNESIA	Tuamotus	Kaukura Atoll	Unprovoked	Lemon shark, 2.5m to 3m 	1.0	[nan]	['Shoulder bitten']	['Spearfishing']	['N']	['M']	Summer
2012	Aug	08-Aug-12	USA	Florida	Key Largo	Unprovoked	Lemon shark, 4' to 5' 	1.0	['56']	['Lacerations to little finger of left hand']	['Free diving ']	['N']	['M']	Summer
2012	Aug	11-Aug-12	AUSTRALIA	Western Australia	Ocean Reef	Boat	4.5 m shark	1.0	[nan]	['No injury, shark grabbed outboard motor']	['Fishing']	['N']	[nan]	Summer
2012	Aug	31-Aug-12	SCOTLAND	Inner Hebrides	Off the Isle of Islay	Provoked	Porbeagle shark, 7'	1.0	['53']	['No injury, shoe bitten by hooked and landed shark PROVOKED INCIDENT']	['Shark fishing']	['N']	['M']	Summer
2012	Dec	02-Dec-12	AUSTRALIA	New South Wales	Green Island	Unprovoked	Sandtiger shark	1.0	['31']	['Minor puncture wounds to knee']	['Spearfishing']	['N']	['M']	Winter
2012	Dec	05-Dec-12	USA	Hawaii	Kauai	Unprovoked	10' shark	1.0	['60']	['Lacerations to left foot']	['Surfing']	['N']	['M']	Winter
2012	Dec	19-Dec-12	AUSTRALIA	Western Australia	Trigg Beach	Unprovoked	Tiger shark, 6'	1.0	['32']	['No injury']	['Surfing']	['N']	['M']	Winter
2012	Dec	25-Dec-12	SOUTH AFRICA	Eastern Cape Province	Port St. John's	Unprovoked	Tiger shark	1.0	['20']	['FATAL']	['Swimming']	['Y']	['M']	Winter
2012	Dec	28-Dec-12	AUSTRALIA	New South Wales	Kylie's Beach, Diamond Head	Unprovoked	Bull shark, 2m 	1.0	['29']	['Lacerations to thigh and hand']	['Paddle boarding']	['N']	['M']	Winter
2012	Dec	30-Dec-12	AUSTRALIA	New South Wales	Between Dee Why and Long Reef	Unprovoked	2.5 m shark	1.0	['23']	['No injury, chunk missing from surfboard']	['Surfing']	['N']	['M']	Winter
2012	Dec	Dec-12	NEW ZEALAND	South Island	Sunday Cove, Fiordland	Unprovoked	Seven-gill shark	1.0	['25']	['No injury, shark grabbed hood']	['Scuba diving']	['N']	['F']	Winter
2012	Feb	20-Feb-12	SOUTH AFRICA	Western Cape Province	Strandfontein	Boat	White shark, 7m	1.0	[nan]	['No injury to occupants, boat damaged']	['Fishing']	['N']	[nan]	Winter
2012	Feb	25-Feb-12	AUSTRALIA	New South Wales	Broughton Island	Unprovoked	Grey nurse shark	1.0	[nan]	['Laceration to left foot']	['Fishing']	['N']	['M']	Winter
2012	Feb	26-Feb-12	USA	Florida	Palm Beach Inlet, Palm Beach County	Provoked	Spinner shark	2.0	[nan]	['Laceration to right foot when he struck a shark PROVOKED INCIDENT']	['Kite Surfing']	['N']	['M']	Winter
2012	Jan	02-Jan-12	AUSTRALIA	Queensland	Duranbah	Unprovoked	Allegedly a 4 m tiger shark	1.0	['34']	['No injury, punctures to swim fin']	['Spearfishing']	['N']	['M']	Winter
2012	Jan	03-Jan-12	AUSTRALIA	New South Wales	North Avoca Beach	Unprovoked	2 m shark	1.0	['28']	['Right forearm and wrist injured']	['Surfing']	['N']	['M']	Winter
2012	Jan	13-Jan-12	USA	Oregon	Lincoln City, Lincoln County	Unprovoked	White shark	1.0	['53']	['No injury, surfboard damaged']	['Surfing']	['N']	['M']	Winter
2012	Jan	15-Jan-12	SOUTH AFRICA	Eastern Cape Province	Second Beach, Port St. Johns	Unprovoked	Thought to involve a bull shark	1.0	['25']	['FATAL']	['Swimming']	['Y']	['M']	Winter
2012	Jan	18-Jan-12	AUSTRALIA	New South Wales	Redhead Beach	Unprovoked	White shark, 2.7 m	1.0	['44']	['Lacerations to thigh']	['Surfing']	['N']	['M']	Winter
2012	Jan	18-Jan-12	TAIWAN	Taitung 	Taimali	Provoked	Blue shark, 70-kg blue shark	1.0	['24']	['Bitten on left thigh     PROVOKED ACCIDENT']	['Fishing']	['N']	['M']	Winter
2012	Jan	19-Jan-12	AUSTRALIA	Western Australia	Coral Bay	Unprovoked	Tiger shark, 3m	1.0	['26']	['Lacerations to right forearm']	['Snorkeling']	['N']	['M']	Winter
2012	Jan	27-Jan-12	USA	Hawaii	Lanai	Unprovoked	6' to 8' shark	1.0	[nan]	['No injury, shark bit swim fin']	['Snorkeling']	['N']	[nan]	Winter
2012	Jul	06-Jul-12	SOUTH AFRICA	Western Cape Province	Sandstrand, Jongensfontein	Unprovoked	15' shark	1.0	['29']	['Lacerattions to left thigh & knee']	['Surfing']	['N']	['M']	Summer
2012	Jul	07-Jul-12	USA	California	Pleasure Point, Santa Cruz County	Unprovoked	14' to 18'shark	1.0	['52']	['No injury, kayak bitten']	['Kayaking']	['N']	['M']	Summer
2012	Jul	14-Jul-12	AUSTRALIA	Western Australia	Off Wedge Island	Unprovoked	White shark, 5m	1.0	['24']	['FATAL']	['Surfing']	['Y']	['M']	Summer
2012	Jul	19-Jul-12	CANADA	British Colombia	Tofino, Vancouver	Invalid	Salmon shark suspected, but unlikely	1.0	['23']	['Lacerations to 2 fingers, but shark involvement unconfirmed']	['Surfing']	['N']	['F']	Summer
2012	Jul	24-Jul-12	USA	North Carolina	Ocean Isle, Brunswick County	Invalid	Shark involvement not confirmed	1.0	['12']	['Shark involvement unconfirmed']	[nan]	['N']	['M']	Summer
2012	Jul	30-Jul-12	USA	Massachusetts	Ballston Beach, Truro, Cape Cod	Unprovoked	Thought to involve a white shark	1.0	['50']	['Lacerations to both legs below the knees']	['Body surfing']	['N']	['M']	Summer
2012	Jul	31-Jul-12	AUSTRALIA	South Australia	Streaky Bay	Unprovoked	White shark or bronze whaler	1.0	['48']	['Lacerations to torso & arm']	['Surfing']	['N']	['M']	Summer
2012	Jun	03-Jun-12	AUSTRALIA	New South Wales	Redhead Beach, Newcastle	Unprovoked	White shark, 2 m	1.0	['30']	['No injury, ski bitten']	['Surf skiing ']	['N']	['M']	Summer
2012	Jun	10-Jun-12	ITALY	Sardinia	Muravera	Provoked	Blue shark, 2.5m	1.0	['57']	['Lower left leg injured PROVOKED ACCIDENT']	['Attempting to rescue an injured & beached shark']	['N']	['M']	Summer
2012	Jun	12-Jun-12	AUSTRALIA	Victoria	Port Campbell	Unprovoked	1.5 m shark	1.0	['42']	['Laceration to right foot']	['Surfing']	['N']	['M']	Summer
2012	Jun	14-Jun-12	USA	South Carolina	Myrtle Beach, Horry County	Unprovoked	Blacktip shark 	1.0	['16']	['Laceration to right foot']	['Swimming']	['N']	['M']	Summer
2012	Jun	14-Jun-12	USA	South Carolina	Myrtle Beach, Horry County	Unprovoked	Shark involvement not confirmed	1.0	[nan]	['Minor injury']	['Swimming']	['N']	['M']	Summer
2012	Jun	14-Jun-12	USA	South Carolina	Myrtle Beach, Horry County	Unprovoked	small blacktip shark?	1.0	['18', nan]	['Foot & hand bitten', 'Calf bitten']	['Swimming', 'Swimming']	['N', 'N']	['F', 'M']	Summer
2012	Jun	15-Jun-12	USA	Florida	Summerland Key, Monroe County	Provoked	Nurse shark	2.0	['23']	['Superficial injury to calf by hooked shark PROVOKED ACCIDENT']	['Fishing']	['N']	['M']	Summer
2012	Jun	19-Jun-12	USA	South Carolina	Myrtle Beach, Horry County	Invalid	No shark involvement	1.0	['16']	['Laceration to foot. Injured by a stingray, not a shark']	['Standing']	['N']	['M']	Summer
2012	Jun	20-Jun-12	AUSTRALIA	Western Australia	Mullaloo Beach, Perth	Unprovoked	3 m shark	1.0	['62']	['No injury, ski severely damaged']	['Surf skiing ']	['N']	['M']	Summer
2012	Jun	26-Jun-12	USA	Florida	Juno Beach, Palm Beach County	Unprovoked	possibly a bull shark	1.0	['6']	['Thigh bitten']	['Swimming']	['N']	['M']	Summer
2012	Jun	26-Jun-12	USA	Hawaii	Kahana Beach, Maui	Unprovoked	a small reef shark	1.0	['16']	['Laceration to left calf']	['Sitting in the water']	['N']	['F']	Summer
2012	Mar	04-Mar-12	USA	Florida	Playalinda Beach, Brevard County	Unprovoked	4' shark	1.0	['19']	['Lacerations to left calf']	['Kite Surfing']	['N']	['M']	Spring
2012	Mar	06-Mar-12	AUSTRALIA	Victoria	Shipwreck Cove, Melbourne Aquarium	Provoked	Tawny nurse shark, 40cm	1.0	['34']	['Superficial lacerations to right side of face PROVOKED ACCIDENT']	['Diving, feeding sharks']	['N']	['F']	Spring
2012	Mar	14-Mar-12	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	4' to 5' shark	1.0	['15', '17']	['Bitten on ankle', 'Bitten on calf']	['Surfing', 'Surfing']	['N', 'N']	['F', 'M']	Spring
2012	Mar	15-Mar-12	USA	Florida	Jensen Beach, Martin County 	Unprovoked	Possibly a 5' to 6' bull shark	1.0	['61']	['Left forearm bitten']	['Surfing']	['N']	['M']	Spring
2012	Mar	20-Mar-12	AUSTRALIA	Queensland	Nobby's Beach	Unprovoked	Possibly a bull shark	1.0	['20']	['Lacerations to left calf']	['Surfing']	['N']	['M']	Spring
2012	Mar	22-Mar-12	AUSTRALIA	Western Australia	Kalbarri	Boat	White shark	1.0	[nan]	['No injury to occupants. Shark bit propelle, rope & crayfish float']	['Crayfishing']	['N']	[nan]	Spring
2012	Mar	31-Mar-12	AUSTRALIA	Western Australia	Stratham Beach	Unprovoked	White shark, 4m 	1.0	['33']	['FATAL']	['Scuba diving']	['Y']	['M']	Spring
2012	May	06-May-12	USA	California	Off Catalina Island	Unprovoked	White shark	1.0	['15']	['No injury, shark bit paddleboard']	['Paddle boarding']	['N']	['F']	Spring
2012	May	12-May-12	USA	California	Leffingwell Landing, Cambria,  San Luis Obispo County	Unprovoked	White shark	1.0	['30']	['No injury, kayaker fell in the water when kayak bitten by a shark']	['Kayaking / Fishing']	['N']	['M']	Spring
2012	May	20-May-12	USA	Hawaii	Iroquiois Point, Oahu	Unprovoked	Tiger shark, 8' to 9' 	1.0	[nan]	['No injury, teethmarks in kayak']	['Kayak Fishing']	['N']	['M']	Spring
2012	May	23-May-12	USA	Florida	Jacksonville, Duval County	Unprovoked	4' to 5' shark	1.0	['22']	['Lacerations to foot']	['Surfing']	['N']	['M']	Spring
2012	May	29-May-12	MEXICO	Guerrero	 Boca de la Le�a, La Uni�n	Unprovoked	Bull shark, 3m	1.0	['46']	['Left hand severed']	['Free diving / spearfishing']	['N']	['M']	Spring
2012	May	31-May-12	USA	North Carolina	Avon, Hatteras Island, Outer Banks, Dare County	Unprovoked	"18"" to 24"" shark"	1.0	['33']	['Foot bitten']	['Wading']	['N']	['F']	Spring
2012	Nov	04-Nov-12	USA	Hawaii	Davidson's Surf Break, Kekaha, Kaua'i	Unprovoked	Tiger shark, 8'	1.0	['43']	['No injury, surfboard bitten']	['Surfing']	['N']	['M']	Autumn
2012	Nov	04-Nov-12	USA	Hawaii	Makena Landing, Maui	Unprovoked	Tiger shark, 15'	1.0	['30']	['Right lower leg and foot bitten']	['Diving']	['N']	['M']	Autumn
2012	Nov	19-Nov-12	USA	Florida	Melbourne Beach, Brevard County	Unprovoked	2' to 3' shark	1.0	['14']	['Minor lacerations to left foot & heel']	['Surfing']	['N']	['M']	Autumn
2012	Nov	22-Nov-12	MEXICO	Sinaloa	Nuevo Altata	Unprovoked	2.5 m shark	1.0	['32']	['FATAL']	['Swimming']	['Y']	['M']	Autumn
2012	Nov	27-Nov-12	AUSTRALIA	Queensland	Mooloolaba	Invalid	No shark involvement	1.0	['20']	['Injury to ankle caused  by a stingray, not a shark']	[nan]	['N']	['M']	Autumn
2012	Nov	30-Nov-12	USA	Hawaii	Kihei, Maui	Unprovoked	Tiger shark, 10'	1.0	['61']	['Lacerations to thigh & lower left leg']	['Snorkeling']	['N']	['M']	Autumn
2012	Oct	02-Oct-12	AUSTRALIA	Western Australia	Mullaloo Beach, Perth	Unprovoked	2m shark	1.0	['11']	['No injury, but swim fin bitten & torn']	['Bodyboarding']	['N']	['M']	Autumn
2012	Oct	16-Oct-12	USA	Florida	Hobe Sound	Invalid	Shark involvement not confirmed	1.0	[nan]	['Laceration to toe']	[nan]	['N']	['M']	Autumn
2012	Oct	18-Oct-12	USA	Hawaii	Kanaha Beach, Maui	Unprovoked	6' to 8' shark	1.0	['55']	['No injury, board bitten']	['Paddle boarding']	['N']	['M']	Autumn
2012	Oct	23-Oct-12	USA	California	Surf Beach, Lompoc, Santa Barbara County	Unprovoked	White shark, 15' to 16' 	1.0	['39']	['FATAL']	['Surfing']	['Y']	['M']	Autumn
2012	Oct	27-Oct-12	USA	Hawaii	Makena Landing, Maui	Unprovoked	Tiger shark, 10' to 12' 	1.0	['51']	['Puncture wounds to thigh, defense wounds  to hand']	['Swimming']	['N']	['F']	Autumn
2012	Oct	30-Oct-12	USA	California	Humboldt Bay, Eureka, Humboldt County	Unprovoked	White shark	1.0	['25']	['Multiple lacerations to torso']	['Surfing']	['N']	['M']	Autumn
2012	Sep	02-Sep-12	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	3.5' to 4' shark	1.0	['8', '56']	['Puncture wounds to calf and hand', 'Puncture wound to left ankle']	['Boogie boarding', 'Swimming or boogie boarding']	['N', 'N']	['F', 'F']	Autumn
2012	Sep	02-Sep-12	USA	Hawaii	Spreckelsville, Maui	Provoked	Tiger shark, 10' to 12' 	1.0	[nan]	['Minor laceration to hand  PROVOKED INCIDENT']	['Spearfishing']	['N']	[nan]	Autumn
2012	Sep	10-Sep-12	TONGA	Vava'u	Eueiki Island	Unprovoked	Possibly a 3 m bull shark	1.0	['29']	['Injuries to thighs & buttocks']	['Swimming']	['N']	['F']	Autumn
2012	Sep	24-Sep-12	USA	Florida	Spanish House Beach, Brevard County	Unprovoked	4' shark	1.0	['22']	['Left foot bitten']	['Surfing']	['N']	['M']	Autumn
2012	Sep	25-Sep-12	USA	Florida	Melbourne Beach, Brevard County	Unprovoked	5' shark	1.0	['21']	['Lacerations to left forearm']	['Surfing']	['N']	['M']	Autumn
2013	Apr	02-Apr-13	USA	Hawaii	Ka�anapali Shores	Unprovoked	4' shark	1.0	['58']	['Right thigh bitten']	['Surfing']	['N']	['M']	Spring
2013	Apr	10-Apr-13	FRENCH POLYNESIA	Tuamotus	North Pass, Fakarava	Unprovoked	Possibly a blacktip reef shark	2.0	['53']	['Underside of board, fins and, harness were damaged, and left  hip, thigh and buttock sustained puncture wounds']	['Kite boarding']	['N']	['M']	Spring
2013	Apr	13-Apr-13	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	Bull shark	2.0	['21']	['Minor lacerations to right hand']	['Surfing']	['N']	['M']	Spring
2013	Apr	14-Apr-13	SOUTH AFRICA	Western Cape Province	False Bay	Unprovoked	Blue shark	1.0	[nan]	"['""Light scratch on hand/wrist area""']"	['Free diving']	['N']	['M']	Spring
2013	Apr	17-Apr-13	USA	Florida	Near Boynton Beach, Palm Beach County	Unprovoked	3' shark	1.0	['9']	['Lacerations to right foot']	['Playing in the surf']	['N']	['M']	Spring
2013	Apr	21-Apr-13	AUSTRALIA	New South Wales	Crowdy Head	Unprovoked	Grey nurse shark, 3m	1.0	['51']	['Puncture wounds and lacerations to both legs']	['Fishing']	['N']	['M']	Spring
2013	Apr	24-Apr-13	MEXICO	Quintana Roo	Seagull Beach, Cancun	Unprovoked	Tiger shark	1.0	['34']	['Avulsion injury  to lower right leg']	['Swimming']	['N']	['F']	Spring
2013	Apr	28-Apr-13	AUSTRALIA	New South Wales	Emerald Beach	Provoked	Wobbegong, 2m	1.0	[nan]	['Foot bitten by landed shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Spring
2013	Apr	Reported 02-Apr-2013	AUSTRALIA	Western Australia	Perth	Invalid	shark involvement not confirmed	1.0	['24']	['Disappeared. No evidence that he was taken by a shark']	[nan]	['Y']	['M']	Spring
2013	Aug	 05-Aug-2013	USA	Florida	Sanibel Island, Lee County	Unprovoked	Bull shark, 6' to 8'	1.0	['17']	['Minor injury to foot & shin']	['Fishing']	['N']	['M']	Summer
2013	Aug	 14-Aug-2013	USA	Hawaii	Makenat, Maui	Unprovoked	Tiger shark?	1.0	['20']	['FATAL']	['Snorkeling']	['Y']	['F']	Summer
2013	Aug	11-Aug-13	USA	South Carolina	Folly Beach	Unprovoked	Bull shark, 8'	1.0	['10']	['No injury, shark became entangled in his surfboard leash']	['Surfing']	['N']	['M']	Summer
2013	Aug	17-Aug-13	USA	California	Pillar Point, Half-Moon Bay, San Mateo County	Unprovoked	White shark	1.0	[nan]	['No injury, shark bumped surfboard']	['Surfing']	['N']	['F']	Summer
2013	Aug	29-Aug-13	USA	California	Catalina Channel	Invalid	No shark involvement	1.0	['47']	['Puncture wound to torso. Reported as a bite by a leopard shark, the tooth fragment appears to be that of a bony fish']	['Marathon swimming']	['N']	['F']	Summer
2013	Aug	31-Aug-13	USA	California	Butterfly Beach, Montecito, Santa Barbara County	Unprovoked	Salmon shark	1.0	[nan]	['Foot bitten']	['Swimming']	['N']	['M']	Summer
2013	Dec	05-Dec-13	AUSTRALIA	New South Wales	Shelly Beach, near Port Macquarie	Unprovoked	 Wobbegong shark, 1.6 to 1.8m 	1.0	['26']	['Puncture wounds to hand, laceration to leg']	['Surfing']	['N']	['M']	Winter
2013	Dec	10-Dec-13	USA	Florida	Cocoa Beach, Brevard  County	Unprovoked	4' to 6' shark	1.0	['30']	['Right foot bitten']	['Surfing']	['N']	['M']	Winter
2013	Dec	11-Dec-13	USA	Hawaii	Ninole Bay, Hawaii County	Unprovoked	Tiger shark, 10' to 12'	1.0	['29']	['Lacerations to right hand & knee']	['Boogie boarding']	['N']	['M']	Winter
2013	Dec	16-Dec-13	SOUTH AFRICA	Western Cape Province	Die Platt	Unprovoked	White shark, 3m 	1.0	['19']	['Injuries to left thigh']	['Surfing']	['N']	['M']	Winter
2013	Dec	25-Dec-13	NEW CALEDONIA	North Province	Lind�ralique, Hiengh�ne	Unprovoked	Reported to involve a bull shark	1.0	['37']	['Leg bitten']	['Snorkeling']	['N']	['M']	Winter
2013	Feb	09-Feb-13	FRENCH POLYNESIA	Society Islands	Tapu, a dive site on the outer reefs of Bora Bora	Unprovoked	Lemon shark	1.0	['48']	['Lacerations to right arm & thigh']	['Scuba diving']	['N']	['M']	Winter
2013	Feb	10-Feb-13	USA	Florida	"""Stuart Rocks"", Martin County"	Unprovoked	Blacktip shark, 4' to 5'	1.0	['16']	['Lacerations to right hand']	['Surfing']	['N']	['M']	Winter
2013	Feb	21-Feb-13	USA	Hawaii	Ka'anapali, Honokowai, Maui	Unprovoked	reef shark?	2.0	[nan]	['Lacerations to right leg']	['Surfing']	['N']	[nan]	Winter
2013	Feb	21-Feb-13	USA	Hawaii	Paia Bay, Maui	Unprovoked	reef shark?	1.0	[nan]	['No injury, shark bit rail of foam board']	['Surfing']	['N']	['M']	Winter
2013	Feb	27-Feb-13	NEW ZEALAND	North Island	Muriwai	Unprovoked	White shark, 4m	1.0	['46']	['FATAL']	['Swimming']	['Y']	['M']	Winter
2013	Jan	13-Jan-13	NEW ZEALAND	Mercury Islands	Great Mercury Island	Unprovoked	Bronze whaler shark, 3m	1.0	[nan]	['Minor cut on finger']	['Spearfishing']	['N']	['M']	Winter
2013	Jan	16-Jan-13	USA	Hawaii	Kiholo Bay	Unprovoked	Tiger shark, 15'	1.0	['43']	['Left forearm bitten ']	['Surfing']	['N']	['M']	Winter
2013	Jan	26-Jan-13	AUSTRALIA	Victoria	Cape Nelson	Boat	White shark, 5m	2.0	[nan]	['No injury to occupants, shark bit propeller']	['Fishing']	['N']	['M']	Winter
2013	Jul	  29-Jul-2013	USA	Hawaii	White Plains Beach, Oahu	Unprovoked	Tiger shark, 8' to 10' 	1.0	['18']	['Lower leg bitten']	['Surfing']	['N']	['M']	Summer
2013	Jul	07-Jul-13	SPAIN	Catalonia	Sant Marti d�Empuries Beach, L�Escala	Invalid	Shark involvement not confirmed	1.0	['48']	['Scrape to right forearm. Frennet says inflicted by a blue shark, but authorities question shark involvement']	['Swimming']	['N']	['M']	Summer
2013	Jul	28-Jul-13	BAHAMAS	Abaco Islands	Scotland Cay	Unprovoked	6' shark	1.0	['40']	['Leg bitten']	['Spearfishing']	['N']	['M']	Summer
2013	Jul	28-Jul-13	BAHAMAS	Exuma Islands	Compass Cay	Unprovoked	Nurse shark	1.0	['64']	['Bitten on left hand']	['Cleaning fish']	['N']	['M']	Summer
2013	Jun	06-Jun-13	AUSTRALIA	New South Wales	Target Beach	Unprovoked	6' shark	1.0	[nan]	['No injury, board damaged']	['Surfing']	['N']	['M']	Summer
2013	Jun	06-Jun-13	USA	Florida	Off Snipe Point, Florida Keys, Monroe County	Provoked	Lemon shark, 4'	1.0	['58']	['Left hand bitten as he attempted to remove hook from shark PROVOKED INCIDENT']	['Fishing for sharks']	['N']	['M']	Summer
2013	Jun	18-Jun-13	USA	Hawaii	Kona Coast State Park	Unprovoked	Tiger shark, 14'	1.0	['28']	['Right thigh & calf bitten']	['Swimming']	['N']	['M']	Summer
2013	Jun	25-Jun-13	USA	California	Pacific State , San Mateo County	Unprovoked	White shark	1.0	[nan]	['No injury, kayak scratched']	['Kayaking / Fishing']	['N']	['M']	Summer
2013	Jun	25-Jun-13	USA	Florida	Jacksonville, Duval County	Unprovoked	Possibly a Bull shark, 3'	1.0	[nan]	['Lacerations to left foot']	['Swimming']	['N']	['M']	Summer
